nombre_paradero;coordenadas;rutas;network;tipos_ruta;fuente;highway;public_transport;name
Portales San Fernando III;10.380750632545624, -75.47915674933864;A104;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Portales San Fernando III
Postobon;10.388808248811028, -75.5212687688503;X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Postobon
Proleca;10.382566111443476, -75.50128631473359;X102, X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Proleca
Prosegur (Villa Leon);10.383838424081514, -75.50019129987399;X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Prosegur (Villa Leon)
Punta Alta Vuelta;10.383643189193586, -75.4997996968632;X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Punta Alta Vuelta
Punte Peatonal Cll Periodistas;10.388618289360386, -75.51699869447532;X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Punte Peatonal Cll Periodistas
Punto Frio El Gavilan;10.372335606323508, -75.47319820404853;A103, A104;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Punto Frio El Gavilan
Restaurante En Pin;10.395565034586395, -75.49313306770561;A111, X103;Transcaribe;Pretroncales, Alimentadoras;csv_2025;bus_stop;platform;Restaurante En Pin
Restaurante La Florida;10.374297730143683, -75.47744944139136;A104, C001;Transcaribe;Alimentadoras, Complementarias;csv_2025;bus_stop;platform;Restaurante La Florida
Restaurante Nueva Fortuna China;10.386111626717502, -75.49385961082773;A108, C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Restaurante Nueva Fortuna China
Sala De Belleza Montero;10.38942922209241, -75.49158073940977;C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Sala De Belleza Montero
San Isidro No. 25-43;10.387541890574962, -75.51112465597504;X102, X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;San Isidro No. 25-43
Shopping Center;10.390010952893526, -75.4806701842539;A104, A105;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Shopping Center
Super Mercado Precio Facil;10.379891206941453, -75.48665553131916;X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Super Mercado Precio Facil
Supergiros;10.37526975248532, -75.48500393744406;A107, C001;Transcaribe;Alimentadoras, Complementarias;csv_2025;bus_stop;platform;Supergiros
Supergiros;10.383578886834988, -75.48308353139319;A105;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Supergiros
Supergiros Bruselas;10.401742170063624, -75.51935456381389;C001, X102, X105;Transcaribe;Pretroncales, Complementarias;csv_2025;bus_stop;platform;Supergiros Bruselas
Taller Mañe;10.380266833123732, -75.49236193267949;C001, X105;Transcaribe;Pretroncales, Complementarias;csv_2025;bus_stop;platform;Taller Mañe
Terraza de Los  Luceros;10.394237697435935, -75.4989548022617;C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Terraza de Los  Luceros
Terrazas Los  Luceros;10.394063576812195, -75.49902990384408;A111, C001;Transcaribe;Alimentadoras, Complementarias;csv_2025;bus_stop;platform;Terrazas Los  Luceros
Tienda El Puente.Com;10.379158082043356, -75.49050785582135;A107, C001, X105;Transcaribe;Pretroncales, Alimentadoras;csv_2025;bus_stop;platform;Tienda El Puente.Com
Tienda El Puentecito;10.380239788349227, -75.49143589899543;A107;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Tienda El Puentecito
Tienda La Nacional (Cll30 53-18);10.399395321779775, -75.49982987385305;C001, X103;Transcaribe;Pretroncales, Complementarias;csv_2025;bus_stop;platform;Tienda La Nacional (Cll30 53-18)
Tienda La Pradera;10.402919209156197, -75.48422813466412;X101;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Tienda La Pradera
Tienda La Rebaja Oficial;10.394601762860846, -75.49715772270105;A111;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Tienda La Rebaja Oficial
Tienda Y Terraza Zona Verde;10.38235466330537, -75.47350255352063;A103;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Tienda Y Terraza Zona Verde
;;;;;;;;
Tv 33 con 29B;10.409252278498773, -75.51880180710634;X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Tv 33 con 29B
Tv 33 entre Kr 22 y 23;10.408112633782547, -75.52084565150524;X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Tv 33 entre Kr 22 y 23
Tv 50 entre Cl 30C y 30D;10.402256377849453, -75.50286211148745;C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Tv 50 entre Cl 30C y 30D
Tv 54 con Dg 22;10.388486381283734, -75.5156790482496;X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Tv 54 con Dg 22
Universidad De Cartagena;10.403467275802749, -75.50543334203455;X103;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Universidad De Cartagena
Universidad De Cartagena;10.403599182636789, -75.50571765642405;C001, X103;Transcaribe;Pretroncales, Complementarias;csv_2025;bus_stop;platform;Universidad De Cartagena
Universidad Del Sinu;10.38896752912022, -75.49982249480571;C001, X102;Transcaribe;Pretroncales, Complementarias;csv_2025;bus_stop;platform;Universidad Del Sinu
Universidad Del Sinu V;10.388822427553967, -75.49990631712383;A111, C001, X102;Transcaribe;Pretroncales, Alimentadoras, Complementarias;csv_2025;bus_stop;platform;Universidad Del Sinu V
UPA La Reina;10.375401089723908, -75.48941888027946;A107, C001;Transcaribe;Alimentadoras, Complementarias;csv_2025;bus_stop;platform;UPA La Reina
UPA La Reina;10.375406365997913, -75.48942089281844;A107, C001;Transcaribe;Alimentadoras, Complementarias;csv_2025;bus_stop;platform;UPA La Reina
Variedades;10.367850361753696, -75.47552636779793;A103, A104;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Variedades
Variedades Solo Kato;10.37534018700178, -75.48074335905443;A104;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Variedades Solo Kato
Vidrios y Auminios 1A;10.373656475962491, -75.50026673823459;A108;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Vidrios y Auminios 1A
Villa Rubia;10.379283720779545, -75.47856667127334;A105, X105;Transcaribe;Pretroncales, Alimentadoras;csv_2025;bus_stop;platform;Villa Rubia
Zaragocilla (Cll30 No 56-26);10.397946973162927, -75.49730256214129;X103;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Zaragocilla (Cll30 No 56-26)
;;;;;;;;
CRESPO - ZONA NORTE;;;;;;;;
;;;;;;;;
nombre_paradero;coordenadas;rutas;network;tipos_ruta;fuente;highway;public_transport;name
Teatro Heredia;10.427365510389881, -75.55132943822083;C017, T102;Transcaribe;Trocales, Complementarias;csv_2025;bus_stop;platform;Teatro Heredia
Boquete Paz Concordia San Diego;10.42774195310738, -75.54495003413196;C017, T102;Transcaribe;Trocales, Complementarias;csv_2026;bus_stop;platform;Boquete Paz Concordia San Diego
Parque De La Marina;10.420540194362168, -75.55092049322448;C001, C017, C018. T102;Transcaribe;Trocales, Complementarias;csv_2027;bus_stop;platform;Parque De La Marina
Cancha Bambino;10.422032452232136, -75.55355298538244;C017, T102;Transcaribe;Trocales, Complementarias;csv_2028;bus_stop;platform;Cancha Bambino
El Boquetillo;10.428948974223543, -75.54897836644501;C017, T102;Transcaribe;Trocales, Complementarias;csv_2029;bus_stop;platform;El Boquetillo
Frente Parque Apolo;10.430146293308239, -75.54456005207349;C017, T102;Transcaribe;Trocales, Complementarias;csv_2030;bus_stop;platform;Frente Parque Apolo
Colegio Modelo De La Costa;10.432221892382454, -75.54401865065861;C017, T102;Transcaribe;Trocales, Complementarias;csv_2031;bus_stop;platform;Colegio Modelo De La Costa
Costa Azul;10.432938575942808, -75.54299131035806;C017, T102;Transcaribe;Trocales, Complementarias;csv_2032;bus_stop;platform;Costa Azul
Droqueria Inglesa;10.433392288465003, -75.54190769791603;C017, T102;Transcaribe;Trocales, Complementarias;csv_2033;bus_stop;platform;Droqueria Inglesa
Entrada El cabrero;10.434373571424626, -75.5400408804417;C017, T102;Transcaribe;Trocales, Complementarias;csv_2034;bus_stop;platform;Entrada El cabrero
El Cabrero;10.433941386851767, -75.54074322209505;C017, T102;Transcaribe;Trocales, Complementarias;csv_2035;bus_stop;platform;El Cabrero
Bellavista Hotel;10.435561566263834, -75.53818987532055;C017, T102;Transcaribe;Trocales, Complementarias;csv_2036;bus_stop;platform;Bellavista Hotel
Kr 1 entre Cl 47 y 46;10.436458730376039, -75.5366524389351;C017, T102;Transcaribe;Trocales, Complementarias;csv_2037;bus_stop;platform;Kr 1 entre Cl 47 y 46
Datt;10.435857829565661, -75.53746061009701;C017, T102;Transcaribe;Trocales, Complementarias;csv_2038;bus_stop;platform;Datt
Edificio Altamar;10.437120106585615, -75.53365136157727;C017, T102;Transcaribe;Trocales, Complementarias;csv_2039;bus_stop;platform;Edificio Altamar
Terrazas De San Sebastian;10.438455470675908, -75.53169768032562;C017, T102;Transcaribe;Trocales, Complementarias;csv_2040;bus_stop;platform;Terrazas De San Sebastian
Global Center;10.43924156307048, -75.53048868237637;C017, T102;Transcaribe;Trocales, Complementarias;csv_2041;bus_stop;platform;Global Center
Bomba Terpel;10.441424841186162, -75.52727346271556;C017;Transcaribe;Trocales, Complementarias;csv_2042;bus_stop;platform;Bomba Terpel
Parque De Las Americas;10.442603303117663, -75.52341655142352;C017;Transcaribe;Complementarias;csv_2043;bus_stop;platform;Parque De Las Americas
Calle 67;10.442877632483617, -75.52027300245801;C017;Transcaribe;Complementarias;csv_2044;bus_stop;platform;Calle 67
Puente Crespito;10.44295676590741, -75.5187548721556;C017;Transcaribe;Complementarias;csv_2045;bus_stop;platform;Puente Crespito
Vivero Rincon Del Mar;10.443083379343614, -75.51845982916394;T102;Transcaribe;Trocales ;csv_2046;bus_stop;platform;Vivero Rincon Del Mar
Gimnasio-Estetica-Peluqueria;10.442972592589761, -75.52079335100689;T102;Transcaribe;Trocales ;csv_2047;bus_stop;platform;Gimnasio-Estetica-Peluqueria
Calle 64;10.442983143709508, -75.52303567774335;T102;Transcaribe;Trocales ;csv_2048;bus_stop;platform;Calle 64
Corales de India;10.442882908044453, -75.52509024984874;T102;Transcaribe;Trocales ;csv_2049;bus_stop;platform;Corales de India
Carrera 2;10.44380085453212, -75.51784292109045;T102;Transcaribe;Trocales ;csv_2050;bus_stop;platform;Carrera 2
Iglesia Cristo Rey;10.444666042968876, -75.51773026831182;C017;Transcaribe;Complementarias;csv_2051;bus_stop;platform;Iglesia Cristo Rey
Carrera 4;10.445805555810162, -75.51762297995121;T102;Transcaribe;Trocales ;csv_2052;bus_stop;platform;Carrera 4
Carrera 6;10.44708222724562, -75.51749959833654;C017;Transcaribe;Complementarias;csv_2053;bus_stop;platform;Carrera 6
Esquina Carrera 6;10.447651979739526, -75.51743522532018;T102;Transcaribe;Trocales ;csv_2054;bus_stop;platform;Esquina Carrera 6
Ferreteria Crespo 70;10.4486332177237, -75.51732257254153;C017;Transcaribe;Complementarias;csv_2055;bus_stop;platform;Ferreteria Crespo 70
Tienda Glorimar;10.449134386452492, -75.51723137743502;T102;Transcaribe;Trocales ;csv_2056;bus_stop;platform;Tienda Glorimar
Kr 9 - Beach Club;10.450264622924216, -75.51583030861694;T102;Transcaribe;Trocales ;csv_2057;bus_stop;platform;Kr 9 - Beach Club
Playa Azul;10.457681172294885, -75.50892256177079;C017;Transcaribe;Complementarias;csv_2058;bus_stop;platform;Playa Azul
Frente a las Americas;10.458293338310288, -75.50780385363778;C017;Transcaribe;Complementarias;csv_2059;bus_stop;platform;Frente a las Americas
Murano;10.464512521835504, -75.50175019914373;C017;Transcaribe;Complementarias;csv_2060;bus_stop;platform;Murano
Morros Vitri;10.466677229743743, -75.49972930703251;C017;Transcaribe;Complementarias;csv_2061;bus_stop;platform;Morros Vitri
Boquilla 2;10.468815307642759, -75.49789787355671;C017;Transcaribe;Complementarias;csv_2062;bus_stop;platform;Boquilla 2
Boquilla 1;10.476418228544398, -75.49188932826152;C017;Transcaribe;Complementarias;csv_2063;bus_stop;platform;Boquilla 1
Frente a Serena del Mar;10.505694465408014, -75.47351190477386;C017;Transcaribe;Complementarias;csv_2064;bus_stop;platform;Frente a Serena del Mar
Terminal del Norte;10.492539721200199, -75.4772257127086;C017;Transcaribe;Complementarias;csv_2065;bus_stop;platform;Terminal del Norte
Ramblas;10.51514633419766, -75.46936147587687;C017;Transcaribe;Complementarias;csv_2066;bus_stop;platform;Ramblas
Frente a Barcelona de Indias;10.515557731791317, -75.46901815312296;C017;Transcaribe;Complementarias;csv_2067;bus_stop;platform;Frente a Barcelona de Indias
Barcelona de Indias;10.519883901862261, -75.46759193307948;C017;Transcaribe;Complementarias;csv_2068;bus_stop;platform;Barcelona de Indias
Barceloneta;10.52309760271968, -75.46612000477371;C017;Transcaribe;Complementarias;csv_2069;bus_stop;platform;Barceloneta
;;;;;;;;
OLATA HERRERA;;;;;;;;
Liceo Pedro de Heredia;10.411956588785037, -75.51755420651168;X104;;;;;;
Liceo Pedro de Heredia;10.4116558575732, -75.51692657013896;X104;;;;;;
La Candelaria;10.410574257208975, -75.5151348543983;X104;;;;;;
Tienda La Unica;10.40986724419814, -75.50852587369806;X104;;;;;;
Boston;10.409518862691327, -75.5067583977954;X104;;;;;;
Boston;10.40941333861242, -75.5064258034849;X104;;;;;;
El Libano;10.408864620222191, -75.50336808497273;X104;;;;;;
El Libano;10.408822408686131, -75.50297648087202;X104;;;;;;
Olaya Sector El Tacon;10.408479434405196, -75.50089776030849;X104;;;;;;
Olaya Sector El Tacon;10.408395008056369, -75.5003827726299;X104;;;;;;
Salida Perimetral Sector Rafael Nuñez.;10.408078403341738, -75.49858030830534;X104;;;;;;
Salida Perimetral Sector Rafael Nuñez.;10.407888447167526, -75.49800094356277;X104;;;;;;
La Esquina Del Sabor;10.410146716824602, -75.51043302126641;X104;;;;;;
Pollito Pio;10.409793214213433, -75.50797075167273;X104;;;;;;
Cai Arrocera;10.407323318980518, -75.49487118802912;X104;;;;;;
Cai Arrocera;10.407196690316532, -75.49442057776793;X104;;;;;;
Casa Justicia Chiquinquira.;10.406732369139228, -75.4917812875542;X104;;;;;;
I.E. Fulgencio Lequerica;10.406352443402033, -75.48927072936748;X104;;;;;;
Olaya Sector La Puntilla;10.406162491781384, -75.48216823267516;X104;;;;;;
Centro Comercial Olaya Plaza;10.406093944409898, -75.48442130015809;X104;;;;;;
Olaya sector La Central;10.405830161793347, -75.48733954813034;X104;;;;;;
Olaya Sector Estela;10.406062312038822, -75.48070912181117;X104;;;;;;
Olaya Sector Playa Blanca;10.405735185917768, -75.48018340874964;X104;;;;;;
Cementerio De Olaya;10.403677451851996, -75.47649269079105;X104;;;;;;
Cementerio De Olaya;10.403455845555085, -75.47610645214831;X104;;;;;;
Entrada Fredonia;10.402347851695632, -75.47397141552676;X104;;;;;;
Entrada Nuevo Paraiso;10.40144031423976, -75.47176127274162;X104;;;;;;
Entrada Fredonia;10.40192574517022, -75.47303800748738;X104;;;;;;
Entrada Las Palmeras;10.400786068585768, -75.47020559314198;X104;;;;;;
Entrada Las Palmeras;10.400591897477637, -75.46978429643933;X104;;;;;;
Las Palmeras;10.398357361992979, -75.4710954385886;A114, A117, C016;;;;;;
Entrada Las Palmeras;10.39908549582921, -75.46931446276419;A114, A117, C016;;;;;;
Altamare;10.40037291180484, -75.4662620995639;A101, A114, A117, C016;;;;;;
MegaAluminios;10.401491480613922, -75.46405196814709;X104, A114, A117, C016;;;;;;
Bomba Petromil;10.401615466546199, -75.462941496449;A101, A114, A117, C016;;;;;;
Billares El Kiosko;10.404190277599463, -75.46416462020836;A117;;;;;;
CDA;10.407841403489149, -75.46467960442939;A117;;;;;;
Acaucar;10.410869906402572, -75.46589196424915;A117;;;;;;
Supertienda El Cañonazo;10.41321248720636, -75.46574176102227;A117;;;;;;
Drogueria Zharick;10.415533934435008, -75.46286642790268;A117;;;;;;
N Transversal 1055;10.416335881119776, -75.45989454324776;A117;;;;;;
Kr 89 entre Tv 74B y 75A;10.417000643060202, -75.45851049788232;A117;;;;;;
Tv 72B entre Kr 88 y 89;10.414637000015817, -75.45768439595368;A117;;;;;;
Barberia Migue;10.413961668646857, -75.45805991463456;A117;;;;;;
Mi Locura;10.411249770695049, -75.45666515968375;A117;;;;;;
Iglesia El Pozon;10.40888607092997, -75.45545280230004;A117;;;;;;
Pactemos;10.406553999491026, -75.45431554993009;A117;;;;;;
Palmas De Salamanca;10.403430496750316, -75.45785605861957;A114, A117, C016;;;;;;
Entrada Pozón;10.40573093325283, -75.45363963209444;X104, A114, A117, C016;;;;;;
Central De Abastos;10.40588921522329, -75.45228779447204;X104, A114, A117, C016;;;;;;
Frente Central De Abastos;10.406817825278466, -75.45144019906967;X104, A114, A117, C016;;;;;;
Urbanización La India V;10.410732720154762, -75.44531406402335;A114;;;;;;
Urbanización La India ;10.41107038448549, -75.4445630437446;A114;;;;;;
La Sevillana 1;10.416889848659608, -75.43900514286443;A114;;;;;;
La Carpa Roja;10.415370287432374, -75.4605708004443;A117;;;;;;
Colegio Gustavo Pulecio Gomez;10.415349288295728, -75.44454151045107;A114;;;;;;
Abastos Giraldo;10.418071689616328, -75.44705213008194;A114;;;;;;
Flor del Campo Mz 1C Lt 4;10.418789231004814, -75.44771731371799;A114;;;;;;
Colegio Gabriel Garcia Marquez;10.420646389015285, -75.449262262202;A114;;;;;;
Bicentenario Mz 79;10.426534246766224, -75.44325406711323;A114;;;;;;
Bicentenario Mz 7 Lt 1;10.421617158399537, -75.44973433534967;A114;;;;;;
Ciudad Del Bicentenario 2;10.42385393726807, -75.44492149909993;A114;;;;;;
Bicentenario Mz 35 Lt 1;10.423468806501852, -75.44751788504142;A114;;;;;;
Ciudad Del Bicentenario 1;10.424698086114953, -75.4424967894785;A114;;;;;;
Bicentenario Mz 75;10.425302174693815, -75.44425095536054;A114;;;;;;
Villa De Aranjuez Mz 1G;10.42222105141492, -75.44175113278479;A114;;;;;;
La Sevillana 2;10.418907761842577, -75.44094647860817;A114;;;;;;
Colombiatón Mz 3G Casa 470;10.417246167857893, -75.44596976983695;A114;;;;;;
Estación Terpel;10.420327313010088, -75.43207588049751;A114;;;;;;
Palmas De Salamanca;10.400177855551576, -75.45687026816087;A101 ;;;;;;
Parque De Galilea;10.398911549948334, -75.45521803202514;A101 ;;;;;;
El Jardín Camelia;10.396959309805094, -75.45497126852985;A101 ;;;;;;
Ciudad Jardin Primavera 2;10.395661325119967, -75.4585010635517;A101 ;;;;;;
Cl 39H entre Kr 91B y 91A;10.395091465030623, -75.45729943698457;A101 ;;;;;;
El Jardín Orquidea;10.394964844796315, -75.45599050828488;A101 ;;;;;;
Refugio La Carolina;10.394416102261554, -75.45607634112;A101 ;;;;;;
Diagonal Drogueria Shelema;10.389941699732468, -75.45353360510487;X101;;;;;;
Villa De La Candelaria;10.401934833874181, -75.46190209521728;X104, A114, C016;;;;;;
El Cariñoso;10.404024251674961, -75.45707411728121;X104, A114, C016;;;;;;
Dg Olimpica 13 De Junio;10.401589883683716, -75.48182217186815;X101;;;;;;
Colegio La Verdadera Enseñanza;10.384030023639237, -75.45888392931299;X101;;;;;;
Colegio Ciudadela 2000;10.373455634833684, -75.47171561809382;C001, X105;;;;;;
Tenaris;10.37180925530773, -75.46557877213398;A102;;;;;;
